,iso_code,month_year,new_vaccinations_smoothed,population,vaccinations_person,per_milion,per_ten_million
244,AUS,2021-04,1478905.0,26177410.0,0.05649546689301959,56495.46689301959,564954.6689301959
245,AUS,2021-05,2044110.0,26177410.0,0.07808679315486139,78086.79315486139,780867.9315486139
246,AUS,2021-06,3325595.0,26177410.0,0.12704064305827048,127040.64305827048,1270406.4305827047
247,AUS,2021-07,4357441.0,26177410.0,0.16645806441508154,166458.06441508155,1664580.6441508154
248,AUS,2021-08,7076785.0,26177410.0,0.270339388044883,270339.388044883,2703393.88044883
249,AUS,2021-09,8272203.0,26177410.0,0.31600540313193703,316005.403131937,3160054.0313193705
250,AUS,2021-10,7985714.0,26177410.0,0.3050612722954639,305061.27229546395,3050612.7229546392
251,AUS,2021-11,3931646.0,26177410.0,0.15019232231148918,150192.32231148917,1501923.223114892
252,AUS,2021-12,3308547.0,26177410.0,0.1263893945199315,126389.3945199315,1263893.945199315
253,AUS,2022-01,6892315.0,26177410.0,0.26329247240273196,263292.47240273195,2632924.72402732
254,AUS,2022-02,4561982.0,26177410.0,0.1742717098444804,174271.70984448039,1742717.098444804
255,AUS,2022-03,2371376.0,26177410.0,0.09058864112225007,90588.64112225008,905886.4112225007
256,AUS,2022-04,982598.0,26177410.0,0.037536104603167385,37536.10460316738,375361.04603167385
257,AUS,2022-05,442361.0,26177410.0,0.016898577819578025,16898.577819578026,168985.77819578024
258,AUS,2022-06,276942.0,26177410.0,0.010579427070898153,10579.427070898153,105794.27070898152
259,AUS,2022-07,314099.0,26177410.0,0.01199885702978255,11998.85702978255,119988.5702978255
260,AUS,2022-08,184062.0,26177410.0,0.0070313296846403065,7031.329684640306,70313.29684640307
261,AUS,2022-09,2581441.0,26177410.0,0.0986133081920633,98613.30819206331,986133.0819206331
262,AUS,2022-10,,26177410.0,,,
263,AUS,2022-11,,26177410.0,,,
264,AUT,2020-12,,8939617.0,,,
265,AUT,2021-01,242390.0,8939617.0,0.027114136992669822,27114.13699266982,271141.3699266982
266,AUT,2021-02,408490.0,8939617.0,0.04569435133518584,45694.35133518584,456943.51335185836
267,AUT,2021-03,984166.0,8939617.0,0.11009039872737278,110090.39872737278,1100903.9872737278
268,AUT,2021-04,1417292.0,8939617.0,0.15854057282319814,158540.57282319813,1585405.7282319814
269,AUT,2021-05,2030162.0,8939617.0,0.22709720114407586,227097.20114407587,2270972.0114407586
270,AUT,2021-06,2596533.0,8939617.0,0.29045237620358905,290452.376203589,2904523.7620358905
271,AUT,2021-07,2059874.0,8939617.0,0.2304208334652368,230420.83346523682,2304208.334652368
272,AUT,2021-08,865187.0,8939617.0,0.09678121557109214,96781.21557109214,967812.1557109214
273,AUT,2021-09,438872.0,8939617.0,0.049092930938763935,49092.93093876394,490929.30938763934
274,AUT,2021-10,611399.0,8939617.0,0.06839207988440668,68392.07988440669,683920.7988440668
275,AUT,2021-11,2218311.0,8939617.0,0.24814385224780883,248143.85224780883,2481438.5224780883
276,AUT,2021-12,2659751.0,8939617.0,0.2975240438152999,297524.0438152999,2975240.438152999
277,AUT,2022-01,1159150.0,8939617.0,0.12966439166241686,129664.39166241686,1296643.9166241686
278,AUT,2022-02,455519.0,8939617.0,0.05095509125279081,50955.09125279081,509550.9125279081
279,AUT,2022-03,128526.0,8939617.0,0.014377125999917,14377.125999917,143771.25999917
280,AUT,2022-04,94826.0,8939617.0,0.010607389555950775,10607.389555950775,106073.89555950776
281,AUT,2022-05,110621.0,8939617.0,0.01237424377353079,12374.24377353079,123742.4377353079
282,AUT,2022-06,109338.0,8939617.0,0.012230725320782758,12230.725320782758,122307.25320782757
283,AUT,2022-07,272810.0,8939617.0,0.03051696733763874,30516.96733763874,305169.6733763874
284,AUT,2022-08,191718.0,8939617.0,0.021445885209623632,21445.885209623633,214458.8520962363
285,AUT,2022-09,253889.0,8939617.0,0.028400433709855802,28400.433709855803,284004.337098558
286,AUT,2022-10,470589.0,8939617.0,0.05264084579909855,52640.84579909855,526408.4579909855
287,AUT,2022-11,,8939617.0,,,
288,AZE,2020-12,,10358078.0,,,
289,AZE,2021-01,,10358078.0,,,
290,AZE,2021-02,217899.0,10358078.0,0.021036624748336515,21036.624748336515,210366.24748336515
291,AZE,2021-03,379664.0,10358078.0,0.036653904324721244,36653.90432472125,366539.0432472124
292,AZE,2021-04,811774.0,10358078.0,0.07837110321046048,78371.10321046048,783711.0321046048
293,AZE,2021-05,707417.0,10358078.0,0.06829616459733166,68296.16459733166,682961.6459733166
294,AZE,2021-06,1174588.0,10358078.0,0.11339825786212461,113398.2578621246,1133982.5786212462
295,AZE,2021-07,1405884.0,10358078.0,0.13572826927930065,135728.26927930064,1357282.6927930065
296,AZE,2021-08,1841591.0,10358078.0,0.1777927333623091,177792.7333623091,1777927.333623091
297,AZE,2021-09,1808388.0,10358078.0,0.17458721589082454,174587.21589082453,1745872.1589082454
298,AZE,2021-10,1137573.0,10358078.0,0.10982471844680065,109824.71844680066,1098247.1844680065
299,AZE,2021-11,929130.0,10358078.0,0.08970100437552218,89701.00437552219,897010.0437552219
300,AZE,2021-12,814401.0,10358078.0,0.0786247216906457,78624.7216906457,786247.216906457
301,AZE,2022-01,669680.0,10358078.0,0.06465292113073487,64652.92113073487,646529.2113073487
302,AZE,2022-02,993320.0,10358078.0,0.09589810001430768,95898.10001430768,958981.0001430768
303,AZE,2022-03,490058.0,10358078.0,0.04731167307293882,47311.67307293882,473116.7307293882
304,AZE,2022-04,221369.0,10358078.0,0.021371628983678247,21371.628983678245,213716.28983678247
305,AZE,2022-05,80876.0,10358078.0,0.007808012258644895,7808.012258644895,78080.12258644895
306,AZE,2022-06,43913.0,10358078.0,0.0042394930797006935,4239.493079700694,42394.930797006935
307,AZE,2022-07,48776.0,10358078.0,0.004708981724215631,4708.981724215631,47089.817242156314
308,AZE,2022-08,41046.0,10358078.0,0.003962704277762728,3962.704277762728,39627.04277762728
309,AZE,2022-09,,10358078.0,,,
310,AZE,2022-10,,10358078.0,,,
311,AZE,2022-11,,10358078.0,,,
312,BDI,2020-12,,12889583.0,,,
313,BDI,2021-01,,12889583.0,,,
314,BDI,2021-02,,12889583.0,,,
315,BDI,2021-03,,12889583.0,,,
316,BDI,2021-04,,12889583.0,,,
317,BDI,2021-05,,12889583.0,,,
318,BDI,2021-06,,12889583.0,,,
319,BDI,2021-07,,12889583.0,,,
320,BDI,2021-08,,12889583.0,,,
321,BDI,2021-09,,12889583.0,,,
322,BDI,2021-10,,12889583.0,,,
323,BDI,2021-11,1841.0,12889583.0,0.00014282851508850208,142.8285150885021,1428.2851508850208
324,BDI,2021-12,5342.0,12889583.0,0.00041444319804605006,414.44319804605004,4144.4319804605
325,BDI,2022-01,1586.0,12889583.0,0.00012304509773512456,123.04509773512456,1230.4509773512457
326,BDI,2022-02,862.0,12889583.0,6.687570885729973e-05,66.87570885729973,668.7570885729973
327,BDI,2022-03,744.0,12889583.0,5.7721029454560324e-05,57.72102945456032,577.2102945456032
328,BDI,2022-04,1321.0,12889583.0,0.00010248586009337928,102.48586009337929,1024.8586009337928
329,BDI,2022-05,3440.0,12889583.0,0.0002668821791985047,266.8821791985047,2668.8217919850467
330,BDI,2022-06,1492.0,12889583.0,0.00011575238702446774,115.75238702446774,1157.5238702446775
331,BDI,2022-07,1593.0,12889583.0,0.00012358817193698198,123.58817193698198,1235.8817193698198
332,BDI,2022-08,1568.0,12889583.0,0.00012164862121606261,121.64862121606261,1216.486212160626
333,BDI,2022-09,2210.0,12889583.0,0.00017145628372927194,171.45628372927195,1714.5628372927195
334,BDI,2022-10,3162.0,12889583.0,0.0002453143751818814,245.3143751818814,2453.143751818814
335,BDI,2022-11,,12889583.0,,,
336,BEL,2020-12,,11655923.0,,,
337,BEL,2021-01,311079.0,11655923.0,0.02668849133612156,26688.49133612156,266884.9133612156
338,BEL,2021-02,520446.0,11655923.0,0.04465077540405852,44650.77540405852,446507.7540405852
339,BEL,2021-03,1045366.0,11655923.0,0.089685389994426,89685.389994426,896853.89994426
340,BEL,2021-04,1866141.0,11655923.0,0.16010237885064957,160102.37885064958,1601023.7885064958
341,BEL,2021-05,2900491.0,11655923.0,0.2488426699455719,248842.6699455719,2488426.699455719
342,BEL,2021-06,4117170.0,11655923.0,0.3532255660920203,353225.5660920203,3532255.660920203
343,BEL,2021-07,3580417.0,11655923.0,0.30717575948296844,307175.7594829684,3071757.5948296846
344,BEL,2021-08,1892999.0,11655923.0,0.16240661507458481,162406.6150745848,1624066.1507458482
345,BEL,2021-09,556045.0,11655923.0,0.04770493078926482,47704.93078926482,477049.3078926482
346,BEL,2021-10,794354.0,11655923.0,0.0681502443006873,68150.24430068729,681502.4430068729
347,BEL,2021-11,1160656.0,11655923.0,0.09957649857501633,99576.49857501633,995764.9857501632
348,BEL,2021-12,2825148.0,11655923.0,0.24237874598176395,242378.74598176396,2423787.4598176396
349,BEL,2022-01,2553683.0,11655923.0,0.219088870096345,219088.870096345,2190888.70096345
350,BEL,2022-02,890025.0,11655923.0,0.0763581742947341,76358.1742947341,763581.742947341
351,BEL,2022-03,258592.0,11655923.0,0.022185458843542463,22185.458843542463,221854.58843542464
352,BEL,2022-04,61340.0,11655923.0,0.005262560502501604,5262.560502501604,52625.60502501604
353,BEL,2022-05,61863.0,11655923.0,0.005307430393972232,5307.430393972231,53074.30393972232
354,BEL,2022-06,283993.0,11655923.0,0.02436469424171728,24364.69424171728,243646.9424171728
355,BEL,2022-07,62846.0,11655923.0,0.005391765199547045,5391.765199547045,53917.651995470456
356,BEL,2022-08,55724.0,11655923.0,0.004780745377264417,4780.745377264417,47807.45377264417
357,BEL,2022-09,1509952.0,11655923.0,0.12954375213357192,129543.75213357192,1295437.5213357192
358,BEL,2022-10,1939823.0,11655923.0,0.1664238001572248,166423.8001572248,1664238.001572248
359,BEL,2022-11,,11655923.0,,,
360,BEN,2020-12,,13352864.0,,,
361,BEN,2021-01,,13352864.0,,,
362,BEN,2021-02,,13352864.0,,,
363,BEN,2021-03,,13352864.0,,,
364,BEN,2021-04,,13352864.0,,,
365,BEN,2021-05,,13352864.0,,,
366,BEN,2021-06,26658.0,13352864.0,0.0019964256357287843,1996.4256357287843,19964.256357287843
367,BEN,2021-07,17949.0,13352864.0,0.0013442060070408865,1344.2060070408866,13442.060070408865
368,BEN,2021-08,65304.0,13352864.0,0.0048906361960999525,4890.636196099953,48906.36196099952
369,BEN,2021-09,80871.0,13352864.0,0.006056453506903089,6056.453506903089,60564.53506903089
370,BEN,2021-10,72850.0,13352864.0,0.005455758405088227,5455.758405088227,54557.584050882266
371,BEN,2021-11,424351.0,13352864.0,0.03177977398706375,31779.77398706375,317797.7398706375
372,BEN,2021-12,1082212.0,13352864.0,0.08104718208767797,81047.18208767797,810471.8208767797
373,BEN,2022-01,498744.0,13352864.0,0.03735108812611287,37351.08812611287,373510.8812611287
374,BEN,2022-02,559677.0,13352864.0,0.04191437881790753,41914.37881790753,419143.7881790753
375,BEN,2022-03,248548.0,13352864.0,0.018613834455289892,18613.834455289893,186138.34455289893
376,BEN,2022-04,233050.0,13352864.0,0.017453184575234197,17453.184575234198,174531.84575234196
377,BEN,2022-05,304396.0,13352864.0,0.022796307968088344,22796.307968088346,227963.07968088344
