,iso_code,month_year,new_deaths_smoothed,population,deaths_person,per_milion,per_ten_million
2081,ERI,2021-05,4.004,3684041.0,1.0868500106269175e-06,1.0868500106269174,10.868500106269176
2082,ERI,2021-06,7.72,3684041.0,2.0955249955144364e-06,2.0955249955144364,20.955249955144364
2083,ERI,2021-07,12.001999999999999,3684041.0,3.257835621264801e-06,3.257835621264801,32.57835621264801
2084,ERI,2021-08,3.5749999999999997,3684041.0,9.704017952026049e-07,0.9704017952026048,9.70401795202605
2085,ERI,2021-09,4.718999999999999,3684041.0,1.2809303696674385e-06,1.2809303696674386,12.809303696674386
2086,ERI,2021-10,3.0029999999999997,3684041.0,8.151375079701881e-07,0.8151375079701881,8.15137507970188
2087,ERI,2021-11,14.285,3684041.0,3.877535564886493e-06,3.877535564886493,38.77535564886493
2088,ERI,2021-12,14.431999999999999,3684041.0,3.9174374009409775e-06,3.9174374009409774,39.174374009409775
2089,ERI,2022-01,23.137999999999998,3684041.0,6.280603283188216e-06,6.280603283188215,62.806032831882156
2090,ERI,2022-02,6.149,3684041.0,1.6690910877484805e-06,1.6690910877484804,16.690910877484804
2091,ERI,2022-03,0.0,3684041.0,0.0,0.0,0.0
2092,ERI,2022-04,0.0,3684041.0,0.0,0.0,0.0
2093,ERI,2022-05,0.0,3684041.0,0.0,0.0,0.0
2094,ERI,2022-06,0.0,3684041.0,0.0,0.0,0.0
2095,ERI,2022-07,0.0,3684041.0,0.0,0.0,0.0
2096,ERI,2022-08,0.0,3684041.0,0.0,0.0,0.0
2097,ERI,2022-09,0.0,3684041.0,0.0,0.0,0.0
2098,ERI,2022-10,0.0,3684041.0,0.0,0.0,0.0
2099,ERI,2022-11,,3684041.0,,,
2100,ESP,2020-01,,47558632.0,,,
2101,ESP,2020-02,,47558632.0,,,
2102,ESP,2020-03,,47558632.0,,,
2103,ESP,2020-04,17523.143,47558632.0,0.0003684534702343835,368.45347023438353,3684.5347023438353
2104,ESP,2020-05,5309.427,47558632.0,0.00011163960729568503,111.63960729568504,1116.3960729568503
