,iso_code,month_count,total_vaccinations,population,vac_month,vac_person,vac_honderdduizend,continent,location
3010,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
3011,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
3012,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
3013,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
3014,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
3015,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
3016,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
3017,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
3018,LVA,18.0,2895716.0,1850654.0,160873.11111111112,0.08692770831884897,8692.770831884896,Europa,Latvia
3019,MAC,18.0,1507144.0,695180.0,83730.22222222222,0.12044394577263762,12044.394577263762,,
3020,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3021,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3022,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3023,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3024,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3025,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3026,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3027,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3028,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3029,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3030,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3031,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3032,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
3033,MAR,21.0,55317568.0,37457976.0,2634169.904761905,0.07032333793907884,7032.333793907884,Afrika,Morocco
